timestamp,strategi,mode,aksi,market,condition_id,outcome,harga,size_usd,skor,edge_pct,keterangan,end_date,resolved,menang,pnl
2026-07-17T00:15:57.585173+00:00,copytrade,paper,ikut,Will France vs. England end in a draw?,0x4822d1452ba17d280b2c271db0e58df7866c9b494040649ab6c6ae8bb7363b18,No,0.745,2.5,8.33,,1 trader · dry_run [agresif],2026-07-18,,,
2026-07-17T00:15:58.208831+00:00,copytrade,paper,skip_harga,Spread: Spain (-5.5),0x97fd6e2966ac723638ea8d13365fee62c7b096ddd8ed5ee805a87bee4a9be941,Argentina,0.9985,,,,harga 0.9985 > maxprice 0.85 (favorit),2026-07-19,,,
2026-07-17T00:15:58.321594+00:00,copytrade,paper,ikut,Lincoln: Yibing Wu vs Yunchaokete Bu,0x98d7baae356f45da3cbb4f7a61ee3aafd045ebdb02c4abc61a8acfa7f3af602a,Yibing Wu,0.0005,2.5,8.33,,1 trader · dry_run [agresif],2026-07-23,,,
2026-07-17T00:15:58.911775+00:00,copytrade,paper,ikut,Spread: France (-1.5),0xcdc47ab97b679450c8ee613c6225a070ff528f9806d6e14778e0b51f271e206a,England,0.715,2.5,8.33,,1 trader · dry_run [agresif],2026-07-18,,,
2026-07-17T00:15:59.505684+00:00,copytrade,paper,skip_harga,PortlandFire vs. Washington Mystics,0x7ed355328107855c80354137613455965f0860c3a73ee44f3b0a21f9b90a2f2e,PortlandFire,0.865,,,,harga 0.865 > maxprice 0.85 (favorit),2026-07-16,,,
2026-07-17T00:15:59.628708+00:00,copytrade,paper,ikut,Seattle Sounders FC vs. Portland Timbers: O/U 2.5,0x22d89d6f4ede78125321bc46a8ddf24fd7a3968dfd38052b60d43e79a92f0ffc,Under,0.315,2.5,8.33,,1 trader · dry_run [agresif],2026-07-17,,,
2026-07-17T00:16:00.211049+00:00,copytrade,paper,ikut,Swiss Open: Alexander Bublik vs Quentin Halys,0xc0335c9816ab0bf9b4d493f9fb9f2c31c625181a0d33a3fcd66f329b6952c731,Quentin Halys,0.3325,2.5,8.33,,1 trader · dry_run [agresif],2026-07-22,,,
2026-07-17T00:16:00.818377+00:00,copytrade,paper,ikut,Spain vs. Argentina: Draw at halftime?,0x58599e6667695b6cfbd17cb7f5f7b47d56046ec347ca067a3848ceb5aafb03f9,Yes,0.485,2.5,8.33,,1 trader · dry_run [agresif],2026-07-19,,,
2026-07-17T00:16:01.424594+00:00,copytrade,paper,ikut,ITF Granby: Erika Sema vs Cadence Brace,0xf47eba0602e6df1480f4ed07eb1faf02ba4c1dd24dbd749bf9f3b7a4d64b06da,Erika Sema,0.765,2.5,8.33,,1 trader · dry_run [agresif],2026-07-23,,,
2026-07-17T00:16:02.006684+00:00,copytrade,paper,skip_harga,Spread: Botafogo FR (-2.5),0xa0f732e43bc70867827b0495999edb34441dddd5e3f2cd137e23619b18fda9a1,Santos FC,0.9945,,,,harga 0.9945 > maxprice 0.85 (favorit),2026-07-16,,,
